"Tipo","Subtipo","Fecha y Hora","Usuario","Solicitud HTTP","Descripción"
"inicio_sesion","creacion","01/12/2025 11:50:35","sergioalbino","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","01/12/2025 11:53:11","umita","http://localhost:8080/usuarios/registrarse","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","01/12/2025 11:53:25","umita","http://localhost:8080/usuarios/ingresarCodigo","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","01/12/2025 12:13:53","umita","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
