"Tipo","Subtipo","Fecha y Hora","Usuario","Solicitud HTTP","Descripción"
"inicio_sesion","creacion","03/12/2025 16:39:28","sergioalbino","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","03/12/2025 16:43:11","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","03/12/2025 16:43:48","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
