"Tipo","Subtipo","Fecha y Hora","Usuario","Solicitud HTTP","Descripción"
"inicio_sesion","creacion","02/12/2025 20:50:55","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 21:53:30","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:05:24","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:08:07","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:08:34","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:09:47","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:11:40","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:14:12","adminevt","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
"inicio_sesion","creacion","02/12/2025 23:27:01","sergioalbino","http://localhost:8080/usuarios/iniciarSesion","El usuario se autenticó e inició sesión"
